Priority,Tier,Record,Title,Collection,Type,Leaves,Thin leaves,Worst leaf MP,Why
24,2,goetzmann1529,"German Government International Loan 1930 Rights Certificate, £100, Bad Homburg, 1960","ICF Collection","Certificate",1,1,0.8,"under 1 MP"
25,2,goetzmann1763,"Consolidated Railway Lighting and Refrigerating Amsterdam Certificate, 1926","ICF Collection","Stock Certificate",3,1,0.83,"under 1 MP; 3 leaves, 1 thin"
26,2,goetzmann1536,"East Indian Railway Company Four Hundred Pound Consolidated Stock Certificate, London, 1874","ICF Collection","Stock Certificate",1,1,0.88,"under 1 MP"
27,2,goetzmann1555,"Brussels Tontine Life-Annuity Contract, 1789","ICF Collection","Tontine",3,3,0.9,"under 1 MP; 3 leaves, 3 thin"
28,2,goetzmann1797,"French National Domains Second Obligation, Mont-Blanc, Year V (1796)","ICF Collection","Bond",1,1,0.9,"under 1 MP"
29,2,goetzmann1530,"Governor of Suriname Second of Exchange on Amsterdam, 1865","ICF Collection","Draft",2,2,0.91,"under 1 MP; 2 leaves, 2 thin"
30,2,goetzmann1509,"Compagnie des Indes Lottery Letters Patent, Paris, 1770","ICF Collection","Regulatory Document",4,4,0.92,"under 1 MP; text-heavy (regulatory document); 4 leaves, 4 thin"
31,2,goetzmann1561,"Swedish East India Company Share with Transfer, Gothenburg, 1798","ICF Collection","Stock Certificate",2,2,0.92,"under 1 MP; 2 leaves, 2 thin"
32,2,goetzmann1569,"Havana Electric Railway Company Amsterdam Certificate, 1937","ICF Collection","Stock Certificate",4,4,0.92,"under 1 MP; 4 leaves, 4 thin"
33,2,goetzmann1585,"Central States Electric Corporation Amsterdam Certificate, 1936","ICF Collection","Stock Certificate",3,2,0.92,"under 1 MP; 3 leaves, 2 thin"
34,2,goetzmann1605,"German Conversion Office Fractional Certificate, Berlin, 1935","ICF Collection","Bond",1,1,0.93,"under 1 MP"
35,2,goetzmann1679,"Portuguese Three Per Cent External Debt Unpaid Interest Certificate, Amsterdam, 1893","ICF Collection","Certificate",1,1,0.93,"under 1 MP"
36,2,goetzmann1583,"Detroit Aircraft Corporation Amsterdam Certificate, 1931","ICF Collection","Stock Certificate",2,2,0.94,"under 1 MP; 2 leaves, 2 thin"
37,2,goetzmann1579,"Pennsylvania Railroad Fractional Convertible Bond Receipt, Philadelphia, 1909","ICF Collection","Receipt",1,1,0.95,"under 1 MP"
38,2,goetzmann1610,"Dutch National Defence Lottery Loan Share, Rotterdam, 1870","ICF Collection","Lottery Bond",2,2,0.96,"under 1 MP; 2 leaves, 2 thin"
39,2,goetzmann1537,"Bank of the United States Stock Certificate, Philadelphia, 1839","ICF Collection","Stock Certificate",2,1,0.98,"under 1 MP; 2 leaves, 1 thin"
40,2,goetzmann1677,"Dutch Chain Declaration for a Wabash Railway Certificate, Amsterdam, 1941","ICF Collection","Regulatory Document",2,2,0.98,"under 1 MP; text-heavy (regulatory document); 2 leaves, 2 thin"
41,2,goetzmann1588,"Chicago Rock Island and Pacific Railway Amsterdam Certificate, 1933","ICF Collection","Stock Certificate",1,1,0.99,"under 1 MP"
42,3,goetzmann1496,"Chicago, Milwaukee, St. Paul and Pacific Railroad Certificate, Amsterdam, 1928","ICF Collection","Certificate",2,2,1,"2 leaves, 2 thin"
43,3,goetzmann1506,"French Royal Decree on the Compagnie des Indes, Paris, 1722","ICF Collection","Regulatory Document",3,3,1,"text-heavy (regulatory document); 3 leaves, 3 thin"
44,3,goetzmann1550,"Act Reducing the Interest on South Sea Company Stock, London, 1751","ICF Collection","Regulatory Document",3,3,1,"text-heavy (regulatory document); 3 leaves, 3 thin"
45,3,goetzmann1558,"Brussels Life-Annuity Society Contract, 1788","ICF Collection","Tontine",3,3,1,"3 leaves, 3 thin"
46,3,goetzmann1515,"Municipal Real Estate Trust Certificate No. 2059, Boston","ICF Collection","Stock Certificate",2,2,1.01,"2 leaves, 2 thin"
47,3,goetzmann1607,"Chicago, Milwaukee, St. Paul and Pacific Amsterdam Certificate, 1940","ICF Collection","Stock Certificate",2,2,1.01,"2 leaves, 2 thin"
48,3,goetzmann0079,"Pasquin's Windkaart: Dutch Satirical Playing Cards, 1720","Goetzmann Collection","Illustration",55,55,1.03,"55 leaves, 55 thin"
49,3,goetzmann1498,"Chicago, Milwaukee, St. Paul and Pacific Railroad Certificate, Amsterdam, 1943","ICF Collection","Certificate",2,2,1.03,"2 leaves, 2 thin"
50,3,goetzmann1638,"English Exchequer Repayment Order to Charles Caesar, London, 1713","ICF Collection","Certificate",3,1,1.03,"3 leaves, 1 thin"
51,3,goetzmann1394,"Royal Decree on the Negotiation of Compagnie des Indes Shares, Marly, 1726","ICF Collection","Regulatory Document",3,3,1.04,"text-heavy (regulatory document); 3 leaves, 3 thin"
52,3,goetzmann1581,"Municipal Real Estate Trust Certificate No. 1736, Boston","ICF Collection","Stock Certificate",2,2,1.08,"2 leaves, 2 thin"
53,3,goetzmann1391,"Royal Decree Naming Commissioners for the Compagnie d'Occident Rentes, 1717","ICF Collection","Regulatory Document",3,3,1.11,"text-heavy (regulatory document); 3 leaves, 3 thin"
54,3,goetzmann1671,"Lehigh Coal and Navigation Company Stock Certificate, 1944","ICF Collection","Stock Certificate",2,2,1.11,"2 leaves, 2 thin"
55,3,goetzmann1659,"Pennsylvania Railroad Stock Allotment Receipt, London, 1904","ICF Collection","Receipt",2,2,1.12,"2 leaves, 2 thin"
56,3,goetzmann1683,"Associated Gas and Electric Amsterdam Certificate, 1931","ICF Collection","Stock Certificate",2,2,1.14,"2 leaves, 2 thin"
57,3,goetzmann1573,"New Haven and Northampton Company Stock Certificate No. 343, 1888","ICF Collection","Stock Certificate",2,2,1.16,"2 leaves, 2 thin"
58,3,goetzmann1575,"New Haven and Northampton Company Stock Certificate No. 358, 1888","ICF Collection","Stock Certificate",2,2,1.16,"2 leaves, 2 thin"
59,3,goetzmann1504,"Eureka Rubber Company Stock Certificate, New York, 1869","ICF Collection","Stock Certificate",2,2,1.17,"2 leaves, 2 thin"
60,3,goetzmann1689,"Irving Trust Company Stock Certificate, New York, 1929","ICF Collection","Stock Certificate",2,2,1.19,"2 leaves, 2 thin"
61,3,goetzmann1700,"Denver and Rio Grande Amsterdam Certificate, 1911","ICF Collection","Stock Certificate",2,2,1.21,"2 leaves, 2 thin"
62,3,goetzmann1673,"Baltimore and Ohio Railroad Stock Certificate, Swiss Bank Corporation","ICF Collection","Stock Certificate",2,2,1.25,"2 leaves, 2 thin"
63,3,goetzmann1519,"Bank of Alexandria Share Certificate, Virginia, 1796","ICF Collection","Stock Certificate",2,2,1.26,"2 leaves, 2 thin"
64,3,goetzmann1387,"Stadnitski Certificate of Russian 6% Funds, Amsterdam, 1825","ICF Collection","Certificate",2,2,1.27,"2 leaves, 2 thin"
65,3,goetzmann1380,"Galveston, Houston and Henderson Rail Road Land Bond, 1855","ICF Collection","Bond",2,2,1.31,"2 leaves, 2 thin"
66,3,goetzmann1577,"Richfield Oil Corporation Stock Certificate, 1961","ICF Collection","Stock Certificate",2,2,1.31,"2 leaves, 2 thin"
67,3,goetzmann1635,"Buffalo, Rochester and Pittsburgh Railroad Stock Certificate","ICF Collection","Stock Certificate",2,2,1.33,"2 leaves, 2 thin"
68,3,goetzmann1669,"Pennsylvania Railroad Stock Certificate, Philadelphia, 1952","ICF Collection","Stock Certificate",2,2,1.35,"2 leaves, 2 thin"
69,3,goetzmann1685,"Fidelity Trust Company Stock Certificate, Boston, 1917","ICF Collection","Stock Certificate",2,2,1.37,"2 leaves, 2 thin"
70,3,goetzmann1784,"Austrian Eighth War Loan Treasury Certificate, Vienna, 1918","ICF Collection","Bond",3,3,1.37,"3 leaves, 3 thin"
71,3,goetzmann1687,"New York Central Railroad Stock Certificate, 1937","ICF Collection","Stock Certificate",2,2,1.38,"2 leaves, 2 thin"
72,3,goetzmann1397,"American Coupon Investment Company Certificate, El Paso, 1894","ICF Collection","Certificate",2,1,1.4,"2 leaves, 1 thin"
73,3,goetzmann1517,"Marconi Wireless Telegraph Company of America Stock Certificate, 1913","ICF Collection","Stock Certificate",2,2,1.41,"2 leaves, 2 thin"
74,3,goetzmann1667,"The Cuba Company Preferred Stock Certificate, 1921","ICF Collection","Stock Certificate",2,2,1.42,"2 leaves, 2 thin"
75,3,goetzmann1600,"Imperial Russian Four Per Cent Rente Deposit Receipt No. 15820, 1911","ICF Collection","Bond",2,2,1.44,"2 leaves, 2 thin"
76,3,goetzmann1675,"New York Central Railroad Stock Certificate, 1936","ICF Collection","Stock Certificate",2,2,1.46,"2 leaves, 2 thin"
77,3,goetzmann1565,"New-Orleans Price-Current with Covering Letter, 1847","ICF Collection","Correspondence",4,4,1.48,"text-heavy (correspondence); 4 leaves, 4 thin"
78,3,goetzmann1653,"Pennsylvania Railroad Stock Certificate, Philadelphia, 1963","ICF Collection","Stock Certificate",2,2,1.51,"2 leaves, 2 thin"
79,3,goetzmann1276,"Watering of Hoedekenskerke Dike Obligation, Zuid-Beveland, 1785","ICF Collection","Bond",4,4,1.52,"4 leaves, 4 thin"
80,3,goetzmann1657,"Erie Railroad Common Stock Certificate, 1932","ICF Collection","Stock Certificate",2,2,1.52,"2 leaves, 2 thin"
81,3,goetzmann1664,"United States Steel Corporation Common Stock Certificate, Amsterdam Holding","ICF Collection","Stock Certificate",2,2,1.52,"2 leaves, 2 thin"
82,3,goetzmann1382,"Commercial Exchange Building Gold Bond, $1,000, Los Angeles, 1928","ICF Collection","Bond",3,3,1.53,"3 leaves, 3 thin"
83,3,goetzmann1695,"Philadelphia Bourse Stock Certificate, 1898","ICF Collection","Stock Certificate",2,2,1.53,"2 leaves, 2 thin"
84,3,goetzmann1795,"New York Central Railroad Stock Certificate, 1951","ICF Collection","Stock Certificate",2,2,1.53,"2 leaves, 2 thin"
85,3,goetzmann1598,"Imperial Russian Four Per Cent Rente Deposit Receipt No. 15834, 1911","ICF Collection","Bond",2,2,1.54,"2 leaves, 2 thin"
86,3,goetzmann1681,"Hudson and Manhattan Railroad Stock Certificate, Mackay & Co.","ICF Collection","Stock Certificate",2,2,1.56,"2 leaves, 2 thin"
87,3,goetzmann0884,"Articles of Association for Buying American Public Debt, Lyon and Paris, 1788","ICF Collection","Indenture",5,5,1.57,"text-heavy (indenture); 5 leaves, 5 thin"
88,3,goetzmann0889,"Clavière's Letter of Instruction on the American Debt, Paris, 1788","ICF Collection","Correspondence",4,4,1.57,"text-heavy (correspondence); 4 leaves, 4 thin"
89,3,goetzmann0893,"Clavière on Firewood for the Bagatelle Detachment, Paris, 1792","ICF Collection","Correspondence",2,1,1.57,"text-heavy (correspondence); 2 leaves, 1 thin"
90,3,goetzmann0140,"Counties upon Delaware Note, 1776","ICF Collection","Banknote",2,2,1.6,"2 leaves, 2 thin"
91,3,goetzmann0134,"Province of Pennsylvania Note, Philadelphia, 1776","ICF Collection","Banknote",2,2,1.62,"2 leaves, 2 thin"
92,3,goetzmann0729,"Principality of Bulgaria Gold Loan of 1907 Bond","(not recorded)","Bond",2,2,1.65,"2 leaves, 2 thin"
93,3,goetzmann0734,"Principality of Bulgaria Gold Loan Bond, 1903","(not recorded)","Bond",2,2,1.66,"2 leaves, 2 thin"
94,3,goetzmann0736,"Province of Buenos Aires Consolidated Internal Debt Bond, La Plata, 1935","(not recorded)","Bond",2,2,1.68,"2 leaves, 2 thin"
95,3,goetzmann1500,"Choctaw and Chickasaw Nations Allotment Patent, Indian Territory, 1906","ICF Collection","Indenture",2,2,1.71,"text-heavy (indenture); 2 leaves, 2 thin"
96,3,goetzmann0144,"Colony of Connecticut Note, Hartford, 1775","ICF Collection","Banknote",2,2,1.74,"2 leaves, 2 thin"
97,3,goetzmann1513,"Caisse Lafarge Life-Annuity Share, Paris, 1795","ICF Collection","Tontine",2,2,1.79,"2 leaves, 2 thin"
98,3,goetzmann1524,"Bank of Bengal Transfer of Shares, 1915","ICF Collection","Indenture",1,1,1.81,"text-heavy (indenture)"
99,3,goetzmann1633,"New York and Harlem Railroad Registered Gold Bond, 1968","ICF Collection","Bond",2,1,1.82,"2 leaves, 1 thin"
100,3,goetzmann1651,"Russian General Oil Corporation Share Warrant to Bearer, London, 1913","ICF Collection","Stock Certificate",2,2,1.82,"2 leaves, 2 thin"
101,3,goetzmann1692,"Western Maryland Railroad Gold Bond, John D. Rockefeller, 1917","ICF Collection","Bond",2,2,1.83,"2 leaves, 2 thin"
102,3,goetzmann1623,"New York, Ontario and Western Gold Bond, Carnegie Hero Fund, 1912","ICF Collection","Bond",2,2,1.84,"2 leaves, 2 thin"
103,3,goetzmann1697,"New York Central and Hudson River Gold Debenture, Yale University, 1904","ICF Collection","Bond",2,2,1.84,"2 leaves, 2 thin"
104,3,goetzmann0725,"Caisse Autonome des Monopoles Stabilisation Loan Bond, Kingdom of Romania, Bucharest, 1929","(not recorded)","Bond",2,2,1.85,"2 leaves, 2 thin"
105,3,goetzmann1625,"Lake Shore and Michigan Southern Ten Thousand Dollar Gold Bond, Rockefeller Foundation, 1930","ICF Collection","Bond",2,2,1.86,"2 leaves, 2 thin"
106,3,goetzmann1627,"Lake Shore and Michigan Southern Gold Bond, Astor Trustees, 1902","ICF Collection","Bond",2,2,1.86,"2 leaves, 2 thin"
107,3,goetzmann0728,"Ottoman Public Debt Administration Bond, 1928","(not recorded)","Bond",2,2,1.91,"2 leaves, 2 thin"
108,3,goetzmann1617,"Lake Shore and Michigan Southern Fifty Thousand Dollar Gold Bond, 1911","ICF Collection","Bond",2,2,1.91,"2 leaves, 2 thin"
109,3,goetzmann1798,"Kingdom of Yugoslavia Five Per Cent Funding Bond No. C1024, New York, 1936","ICF Collection","Bond",2,2,1.92,"2 leaves, 2 thin"
110,3,goetzmann1619,"New York Central and Hudson River Gold Bond, Carnegie Corporation, 1929","ICF Collection","Bond",2,2,1.94,"2 leaves, 2 thin"
111,3,goetzmann1621,"New York Central and Hudson River Gold Bond, Salomon Bros., 1924","ICF Collection","Bond",2,2,1.94,"2 leaves, 2 thin"
112,3,goetzmann1389,"Power of Attorney for the Transfer of South Sea Company Stock, 1730","ICF Collection","Indenture",2,2,1.95,"text-heavy (indenture); 2 leaves, 2 thin"
113,3,goetzmann1615,"Chicago, Rock Island and Pacific Six Per Cent Preferred Stock Certificate, 1920","ICF Collection","Stock Certificate",2,2,1.96,"2 leaves, 2 thin"
114,3,goetzmann0142,"Province of Maryland Note, Annapolis, 1774","ICF Collection","Banknote",2,2,1.98,"2 leaves, 2 thin"
115,3,goetzmann1613,"Havana Electric Railway Company Common Stock Certificate, 1927","ICF Collection","Stock Certificate",2,2,1.98,"2 leaves, 2 thin"
116,3,goetzmann1385,"État Indépendant du Congo Lottery Bond, Brussels, 1888","ICF Collection","Lottery Bond",2,2,2,"2 leaves, 2 thin"
117,3,goetzmann1631,"Lake Shore and Michigan Southern Fifty Thousand Dollar Gold Bond, Carnegie Corporation, 1913","ICF Collection","Bond",2,2,2,"2 leaves, 2 thin"
118,3,goetzmann1655,"Havana Electric Railway Six Per Cent Preferred Stock Certificate, 1927","ICF Collection","Stock Certificate",2,2,2.04,"2 leaves, 2 thin"
119,3,goetzmann0136,"Colony of New Jersey Note, Burlington, 1776","ICF Collection","Banknote",2,2,2.06,"2 leaves, 2 thin"
120,3,goetzmann1377,"Twenty-One Sixty-Six Broadway Corporation Mortgage Certificate, New York, 1928","ICF Collection","Bond",3,2,2.06,"3 leaves, 2 thin"
121,3,goetzmann1548,"Bank of Bengal Transfer of One Share to Agnes Mary White, 1914","ICF Collection","Indenture",1,1,2.14,"text-heavy (indenture)"
122,3,goetzmann1790,"Ilmenau Municipal Coke-Value Bond for Twenty Zentner, Thuringia, 1923","ICF Collection","Bond",2,2,2.14,"2 leaves, 2 thin"
123,3,goetzmann1502,"Kingdom of Yugoslavia Five Per Cent Funding Bond No. C2382, New York, 1936","ICF Collection","Bond",2,2,2.21,"2 leaves, 2 thin"
124,3,goetzmann0731,"Ottoman Empire Unified Converted Debt Bond, Constantinople, 1903","(not recorded)","Bond",2,2,2.25,"2 leaves, 2 thin"
125,3,goetzmann1662,"FRIA Alumina Five and Five-Eighths Per Cent Obligation, Paris, 1960","ICF Collection","Bond",2,1,2.5,"2 leaves, 1 thin"
126,4,goetzmann1580,"Western New York and Pennsylvania Railroad Fifteen Dollar Scrip, 1887","ICF Collection","Certificate",1,1,1.02,""
127,4,goetzmann1525,"Compagnie du Nouveau Monde California Gold-Mining Share, Paris","ICF Collection","Stock Certificate",1,1,1.03,""
128,4,goetzmann1680,"Trans-African Railway Bondholders' Committee Certificate, Amsterdam","ICF Collection","Bond",1,1,1.08,""
129,4,goetzmann1544,"German Reich Loan of 1922 Bond for One Hundred Thousand Marks, Berlin","ICF Collection","Bond",1,1,1.22,""
130,4,goetzmann1666,"Société Toulousaine du Bazacle Founder's Share, Toulouse","ICF Collection","Stock Certificate",1,1,1.32,""
131,4,goetzmann1694,"Westphalian Rye Mortgage Bond for Twenty Zentner, Münster, 1923","ICF Collection","Bond",1,1,1.35,""
132,4,goetzmann0719,"Hope & Co. Certificate of Russian 6% Funds No. 4326, Amsterdam, 1825","Goetzmann Collection","Certificate",1,1,1.36,""
133,4,goetzmann0705,"City of Naples Unified Debt Bond, 1881","(not recorded)","Bond",1,1,1.41,""
134,4,goetzmann1702,"German External Loan 1924 Swiss Issue Funding Certificate, £20, Bad Homburg, 1953","ICF Collection","Certificate",1,1,1.5,""
135,4,goetzmann1547,"Greater Houston Petroleum and Pipe Line Company Stock Certificate, Houston, 1915","ICF Collection","Stock Certificate",1,1,1.51,""
136,4,goetzmann0715,"Republic of Poland Dollar Premium Loan Bond No. 1222277, Warsaw, 1931","ICF Collection","Lottery Bond",1,1,1.55,""
137,4,goetzmann1792,"Prussian Central Landschaft Rye Mortgage Bond for Twenty Zentner, Berlin, 1923","ICF Collection","Bond",1,1,1.57,""
138,4,goetzmann0723,"Imperial Russian Three Per Cent Loan Bond, 1859","(not recorded)","Bond",1,1,1.58,""
139,4,goetzmann1787,"Prussian Central Landschaft Rye Mortgage Bond for Fifty Zentner, Berlin, 1923","ICF Collection","Bond",1,1,1.58,""
140,4,goetzmann1545,"German Reich Loan of 1922 Coupon Sheet for Bond No. 678422, Berlin","ICF Collection","Coupon",1,1,1.59,""
141,4,goetzmann0708,"Mexico Gold Treasury Bond, 1913","(not recorded)","Bond",1,1,1.6,""
142,4,goetzmann1788,"Prussian Central Landschaft Rye Mortgage Bond for Ten Zentner, Berlin, 1923","ICF Collection","Bond",1,1,1.6,""
143,4,goetzmann0713,"Republic of Peru 100-soles bond for the Arica customs house, Lima, 1871","(not recorded)","Bond",1,1,1.63,""
144,4,goetzmann0720,"USSR State Loan Bond, 1946","(not recorded)","Bond",1,1,1.63,""
145,4,goetzmann0724,"City of Bari Prize Loan Bond, 1869","(not recorded)","Lottery Bond",1,1,1.63,""
146,4,goetzmann0718,"Portuguese External Fund Zero-Coupon Bond, Lisbon, 1902","(not recorded)","Bond",1,1,1.65,""
147,4,goetzmann0704,"Monte del Sale Share Transfer, Florence, 1693","Beinecke Library","Bond",1,1,1.69,""
148,4,goetzmann1554,"Topographic Map of the Bavarian Alps and Munich Region","ICF Collection","Illustration",1,1,1.71,""
149,4,goetzmann0714,"City of Warsaw Bearer Bond, 1931","(not recorded)","Bond",1,1,1.72,""
150,4,goetzmann0722,"City of Baku Loan Bond No. 20783, 1910","ICF Collection","Bond",1,1,1.73,""
151,4,goetzmann1789,"Imperial Company of Commerce of Asia and Africa Share No. 1136, Antwerp, 1781","ICF Collection","Stock Certificate",1,1,1.76,""
152,4,goetzmann1699,"Rheinische Linoleumwerke Bedburg Share, 1920","ICF Collection","Stock Certificate",1,1,1.8,""
153,4,goetzmann0717,"Portugal External Debt Provisional Certificate, 1853","(not recorded)","Certificate",1,1,1.82,""
154,4,goetzmann0707,"República Mexicana Consolidated External Debt Gold Bond, 1899","(not recorded)","Bond",1,1,1.83,""
155,4,goetzmann0716,"Republic of Poland Dollar Premium Loan Bond No. 1450669, Warsaw, 1931","(not recorded)","Lottery Bond",1,1,1.87,""
156,4,goetzmann0709,"Provisional Bearer Receipt for the Ottoman Unified Converted Debt, Paris, 1933","(not recorded)","Receipt",1,1,1.97,""
157,4,goetzmann0215,"United States Lottery Ticket, Class the First, Philadelphia, 1776","Beinecke Library","Lottery Bond",1,1,1.99,""
158,4,goetzmann1546,"Peking Waterworks Company Share Subscription Receipt, Guangxu Era","ICF Collection","Receipt",1,1,2.01,""
159,4,goetzmann0706,"Liberian Government Loan Arrear Interest Certificate, London, 1899","(not recorded)","Certificate",1,1,2.03,""
160,4,goetzmann0738,"Kingdom of Serbia Amortizable Loan of 1895 Bond, Back with Amortization Table and Talon, Belgrade","(not recorded)","Bond",1,1,2.06,""
161,4,goetzmann1661,"Établissements Quillery Hundred New Franc Bearer Share, Paris","ICF Collection","Stock Certificate",1,1,2.08,""
162,4,goetzmann0711,"Ottoman Public Debt Bearer Receipt No. 100,014, Amsterdam, 1930","(not recorded)","Receipt",1,1,2.09,""
163,4,goetzmann0712,"Ottoman Public Debt Bearer Receipt No. 125,515, Amsterdam, 1930","ICF Collection","Receipt",1,1,2.13,""
164,4,goetzmann0710,"Société Ottomane du Chemin de Fer de Damas-Hamah Bond, Constantinople, 1910","(not recorded)","Bond",1,1,2.22,""
165,4,goetzmann0721,"Russian State Internal Lottery Loan Bond, Provisional Government, 1917","(not recorded)","Lottery Bond",1,1,2.3,""
166,4,goetzmann1691,"Tecolote Copper Mines Corporation Amsterdam Certificate, 1929","ICF Collection","Stock Certificate",1,1,2.31,""
