id	before	after
goetzmann0300	St. Petersburg Private Commercial Bank Share, St. Petersburg, 1911	St. Petersburg Private Commercial Bank Share, St. Petersburg
goetzmann0302	Banque Industrielle de Chine (中法實業銀行) Share, Paris, 1913	Banque Industrielle de Chine (中法實業銀行) Share, Paris
goetzmann0312	Central Trust Company Stock Certificate, Cambridge, Massachusetts, 1929	Central Trust Company Stock Certificate, Cambridge, Massachusetts
goetzmann0314	Hamburg Office of Administration Certificate for 5% Russian Funds	Hamburg Office of Administration Certificate for Russian Funds
goetzmann0318	Republic of China Construction Gold Bonds, First Series US Dollar Bond, 1940	Republic of China Construction Gold Bonds US Dollar Bond
goetzmann0319	Gouvernement Général de l'Indo-Chine Obligation, Paris, 1902	Gouvernement Général de l'Indo-Chine Obligation, Paris
goetzmann0321	Rent Receipt (收租票) of the Zhou Household, Guangxu 22 (1896)	Rent Receipt (收租票) of the Zhou Household, Guangxu 22
goetzmann0324	日本勧業銀行 (Hypothec Bank of Japan) Discount Debenture, 11th Issue — Sales Poster, July 1936	日本勧業銀行 (Hypothec Bank of Japan) Discount Debenture, 11th Issue — Sales Poster, July
goetzmann0326	真裕地產股份有限公司 (Zhenyu Real Estate Co., Ltd.) Share Certificate, China, 1944	真裕地產股份有限公司 (Zhenyu Real Estate Co., Ltd.) Share Certificate, China
goetzmann0328	Citrus Belt Land Company Stock Certificate, California, 1911	Citrus Belt Land Company Stock Certificate, California
goetzmann0332	Compagnie Occidentale de Madagascar Share, Paris, 1910	Compagnie Occidentale de Madagascar Share, Paris
goetzmann0333	Compañía Salitrera de Tarapacá y Antofagasta share certificate, Santiago, 1937	Compañía Salitrera de Tarapacá y Antofagasta share certificate, Santiago
goetzmann0337	Compañía La Petrolífera Nacional Bearer Share, San Sebastián, 1928	Compañía La Petrolífera Nacional Bearer Share, San Sebastián
goetzmann0344	Conseil de la Dette Publique Répartie de l'Ancien Empire Ottoman, Provisional Receipt for the Ottoman 5% Loan of 1914, Paris, 1933	Conseil de la Dette Publique Répartie de l'Ancien Empire Ottoman, Provisional Receipt for the Ottoman Loan of 1914, Paris
goetzmann0361	Banco giro di Venezia 100-ducat cedula, Venice, 1798	Banco giro di Venezia 100-ducat cedula, Venice
goetzmann0370	Fosses à Charbon de M. le Marquis de Traisnel, fractional share (France, 1781)	Fosses à Charbon de M. le Marquis de Traisnel, fractional share (France)
goetzmann0373	Imperial Japanese Government 4% Loan Bond, Paris, 1910	Imperial Japanese Government Loan Bond, Paris
goetzmann0374	Gouvernement de la Nouvelle-Calédonie et Dépendances 4% Bond, Paris, 1931	Gouvernement de la Nouvelle-Calédonie et Dépendances Bond, Paris
goetzmann0377	Great Atlantic & Pacific Tea Company stock certificate, Maryland, 1972	Great Atlantic & Pacific Tea Company stock certificate, Maryland
goetzmann0378	Hungarian Fund One-Dollar Bond, New York, 1852	Hungarian Fund One-Dollar Bond, New York
goetzmann0379	Imperial Russian Government 3% State Loan, London, 1859	Imperial Russian Government State Loan, London
goetzmann0382	Nippon Kangyō Bank (Hypothec Bank of Japan) Premium Savings Bond, 50 yen, Tokyo, 1938	Nippon Kangyō Bank (Hypothec Bank of Japan) Premium Savings Bond, Tokyo
goetzmann0383	Nippon Kangyō Bank Premium Wartime Patriotic Bond, Japan, August 1942	Nippon Kangyō Bank Premium Wartime Patriotic Bond, Japan, August
goetzmann0384	Japanese Wartime Patriotic Bond (Nippon Kangyō Bank), 10 Yen, 1942	Japanese Wartime Patriotic Bond (Nippon Kangyō Bank)
goetzmann0386	Imperial Russian Government 4% State Loan Bond, 1902	Imperial Russian Government State Loan Bond
goetzmann0387	Imperial Russian Government 4½% State Loan Bond, 1905	Imperial Russian Government State Loan Bond
goetzmann0388	Kettingverklaring for a De Woning Maatschappij Batavia Share, Amsterdam, 1941	Kettingverklaring for a De Woning Maatschappij Batavia Share, Amsterdam
goetzmann0389	Royal Dutch Petroleum Company Share-Subscription Warrant, The Hague, 1937	Royal Dutch Petroleum Company Share-Subscription Warrant, The Hague
goetzmann0392	La Platense Flotilla Company Share Warrant (Glasgow, 1886)	La Platense Flotilla Company Share Warrant (Glasgow)
goetzmann0396	Merchants Insurance Company Stock Transfer, Providence, 1858	Merchants Insurance Company Stock Transfer, Providence
goetzmann0397	The Mexican Telephone Company Share Certificate, New York City, 1905	The Mexican Telephone Company Share Certificate, New York City
goetzmann0398	Minas Geraes Goldfields Limited Share Warrant, London, 1912	Minas Geraes Goldfields Limited Share Warrant, London
goetzmann0405	Nuovo Monte Sussidio Vacabile della Città di Firenze share certificate, Florence, 1706	Nuovo Monte Sussidio Vacabile della Città di Firenze share certificate, Florence
goetzmann0406	Compañía del Ferro-Carril de Palencia á Ponferrada (Noroeste de España) Bond, Madrid 1862	Compañía del Ferro-Carril de Palencia á Ponferrada (Noroeste de España) Bond, Madrid
goetzmann0412	Norbertine Fathers' Order 8% First Mortgage Bond, Gödöllő (Budapest), 1926	Norbertine Fathers' Order First Mortgage Bond, Gödöllő (Budapest)
goetzmann0419	Société des Plantations d'Agaves de l'Annam Share (Saigon, 1924)	Société des Plantations d'Agaves de l'Annam Share (Saigon)
goetzmann0423	Royal Serbian Government Tobacco-Monopoly Prize Loan Bond, Belgrade, 1888	Royal Serbian Government Tobacco-Monopoly Prize Loan Bond, Belgrade
goetzmann0425	French Directory Promesse de mandat territorial, 25 francs, 1796	French Directory Promesse de mandat territorial
goetzmann0426	Reconstitution of French Royal 3% Rentes, Paris, 1763	Reconstitution of French Royal Rentes, Paris
goetzmann0427	Reichsbank 1,000-Mark Reichsbanknote, Berlin, 1910	Reichsbank 1,000-Mark Reichsbanknote, Berlin
goetzmann0428	Reichsbank 1,000-Mark Reichsbanknote, Berlin, 1922	Reichsbank 1,000-Mark Reichsbanknote, Berlin
goetzmann0429	Chinese Republic 5% Gold Bond, London, 1925	Chinese Republic Gold Bond, London
goetzmann0430	Chinese Republic Lung-Tsing-U-Hai Railway Bond, Brussels, 1921	Chinese Republic Lung-Tsing-U-Hai Railway Bond, Brussels
goetzmann0432	Russian General Oil Corporation Share Warrant to Bearer, London, 1912	Russian General Oil Corporation Share Warrant to Bearer, London
goetzmann0433	Imperial Russian Government State 4% Rente Certificate, St. Petersburg	Imperial Russian Government State Rente Certificate, St. Petersburg
goetzmann0436	Walchensee Loan Bond, Munich, 1923	Walchensee Loan Bond, Munich
goetzmann0437	Seville–Jerez–Cadiz Railway Company Bearer Share, 1857	Seville–Jerez–Cadiz Railway Company Bearer Share
goetzmann0441	Société Anonyme des Verreries d'Extrême Orient Share, Tokyo, 1907	Société Anonyme des Verreries d'Extrême Orient Share, Tokyo
goetzmann0442	Société Anonyme Minière des Aïmaks de Touchetoukhan et de Tsetsenkhan en Mongolie — St. Petersburg, 1911	Société Anonyme Minière des Aïmaks de Touchetoukhan et de Tsetsenkhan en Mongolie — St. Petersburg
goetzmann0443	Société Atlantique de Réassurances Share, Tangier, 1952	Société Atlantique de Réassurances Share, Tangier
goetzmann0445	Bulgarian Red Cross Society Premium Loan Bond, Sofia, 1912	Bulgarian Red Cross Society Premium Loan Bond, Sofia
goetzmann0446	Société de Lovitch des Produits et Engrais Chimiques (Łowicz) Share, Warsaw 1896	Société de Lovitch des Produits et Engrais Chimiques (Łowicz) Share, Warsaw
goetzmann0447	Société de Lovitch des Produits et Engrais Chimiques Share, Warsaw, 1895	Société de Lovitch des Produits et Engrais Chimiques Share, Warsaw
goetzmann0449	Société des Mines d'Or de Kilo-Moto Founder's Share, Brussels and Kilo, after 1944	Société des Mines d'Or de Kilo-Moto Founder's Share, Brussels and Kilo, after
goetzmann0454	Eighth Austrian War Loan Vienna June 1, 1918	Eighth Austrian War Loan Vienna June 1
goetzmann0457	State of New York Canal Stock, Albany, 1842	State of New York Canal Stock, Albany
goetzmann0468	Court of Chancery Injunction Bond, Madison County, Tennessee, 1852	Court of Chancery Injunction Bond, Madison County, Tennessee
goetzmann0469	Unilever N.V. Option Certificate, Rotterdam, July 1937	Unilever N.V. Option Certificate, Rotterdam, July
goetzmann0472	Westchester & Philadelphia Rail Road Co. Scrip, Philadelphia, 1860	Westchester & Philadelphia Rail Road Co. Scrip, Philadelphia
goetzmann0473	Wisconsin Investment Company Class A Common Stock Certificate, Chicago, 1930	Wisconsin Investment Company Common Stock Certificate, Chicago
goetzmann0476	Eendracht Polder Bond, Zaamslag (Zeeland), 1779	Eendracht Polder Bond, Zaamslag (Zeeland)
goetzmann0479	Chinese Imperial Government 5% Gold Loan Bond, 1903	Chinese Imperial Government Gold Loan Bond
goetzmann0481	Imperial Russian 4% Gold Loan Bond, Sixth Issue (125 Rubles)	Imperial Russian Gold Loan Bond, Sixth Issue (125 Rubles)
goetzmann0483	Life-Annuity Lottery Ticket of the City of Hamburg, 1773	Life-Annuity Lottery Ticket of the City of Hamburg
goetzmann0484	Connecticut Comptroller's Interest Receipt, Hartford, 1789	Connecticut Comptroller's Interest Receipt, Hartford
goetzmann0485	Koninklijke Fransche Lyfrente Negotiatie van Maart 1781 — Nominee Register, Amsterdam, 1787	Koninklijke Fransche Lyfrente Negotiatie van Maart 1781 — Nominee Register, Amsterdam
goetzmann0486	Hope & Co. Certificate for Russian 5% Silver Bonds, Amsterdam, 1834	Hope & Co. Certificate for Russian Silver Bonds, Amsterdam
goetzmann0490	Royal Dutch Petroleum Stock Purchase Warrant, No. 015284	Royal Dutch Petroleum Stock Purchase Warrant
goetzmann0494	Liverpool Corn Trade Association Perpetual Mortgage Debenture, Liverpool, 1897	Liverpool Corn Trade Association Perpetual Mortgage Debenture, Liverpool
goetzmann0496	Continental Loan Office Bill of Exchange, Massachusetts Bay, 1778	Continental Loan Office Bill of Exchange, Massachusetts Bay
goetzmann0497	Continental Loan Office Bill of Exchange, Massachusetts, 1778	Continental Loan Office Bill of Exchange, Massachusetts
goetzmann0499	Mexican Five Per Cent Deferred Stock Bond, London, 1837	Mexican Five Per Cent Deferred Stock Bond, London
goetzmann0501	New York State Per Cent Stock Certificate, Albany, 1815	New York State Per Cent Stock Certificate, Albany
goetzmann0502	Notarial Deed of the Demerara Plantation Negotiatie ("The Garden of Eden" and "The Kitty"), Amsterdam, 1817	Notarial Deed of the Demerara Plantation Negotiatie ("The Garden of Eden" and "The Kitty"), Amsterdam
goetzmann0504	Negotiatie "Concordia Res Parvae Crescunt" Share-Transfer Receipt, Amsterdam, 1894	Negotiatie "Concordia Res Parvae Crescunt" Share-Transfer Receipt, Amsterdam
goetzmann0505	Continental Loan Office Bill of Exchange, Pennsylvania, 1780	Continental Loan Office Bill of Exchange, Pennsylvania
goetzmann0507	Amsterdam Prys-Courant der Effecten, 16 May 1822	Amsterdam Prys-Courant der Effecten, 16 May
goetzmann0511	Royal Life Annuity Contract, Hôtel de Ville of Paris, 1759	Royal Life Annuity Contract, Hôtel de Ville of Paris
goetzmann0514	The Rock Island Company Administration Certificate, Amsterdam, 1897	The Rock Island Company Administration Certificate, Amsterdam
goetzmann0515	Vereeniging tot Bevordering van 's Lands Weerbaarheid Lottery Loan Share, Rotterdam, 1871	Vereeniging tot Bevordering van 's Lands Weerbaarheid Lottery Loan Share, Rotterdam
goetzmann0516	Imperial Russian 5% Perpetual Income Certificate, St Petersburg, 1822	Imperial Russian Perpetual Income Certificate, St Petersburg
goetzmann0517	Russian Public Debt Inscription, Imperial Sinking-Fund Commission, Saint Petersburg, 1876	Russian Public Debt Inscription, Imperial Sinking-Fund Commission, Saint Petersburg
goetzmann0518	Russian Perpetual Capital Certificate, State Commission for the Repayment of Debts, St. Petersburg, 1839	Russian Perpetual Capital Certificate, State Commission for the Repayment of Debts, St. Petersburg
goetzmann0520	Hope & Co. Russian 6% Silver Certificate, Amsterdam, 1857	Hope & Co. Russian Silver Certificate, Amsterdam
goetzmann0522	Sillem, Benecke & Co. Russian Funds Certificate, Hamburg, 1821	Sillem, Benecke & Co. Russian Funds Certificate, Hamburg
goetzmann0523	Volksstaat Hessen Brown-Coal-Rye Loan Bond, Darmstadt, 1923	Volksstaat Hessen Brown-Coal-Rye Loan Bond, Darmstadt
goetzmann0524	Spanish Debt Conversion Passive Stock Certificate, London, 1835	Spanish Debt Conversion Passive Stock Certificate, London
goetzmann0525	Stadnitski & van Heukelom Russian Loan Certificate, Amsterdam, 1825	Stadnitski & van Heukelom Russian Loan Certificate, Amsterdam
goetzmann0527	United States Treasury Six Per Cent Deferred Stock Certificate, Philadelphia, 1792	United States Treasury Six Per Cent Deferred Stock Certificate, Philadelphia
goetzmann0528	Dutch Deferred Debt Compliance Certificate, Amsterdam, 1815	Dutch Deferred Debt Compliance Certificate, Amsterdam
goetzmann0529	Continental Loan Office Bill of Exchange, No. 131	Continental Loan Office Bill of Exchange
goetzmann0532	Continental Loan Office Bill of Exchange, No. 71	Continental Loan Office Bill of Exchange
goetzmann0539	German Government International 5½% Loan of 1930, Belgian Issue (Berlin, 1930)	German Government International Loan of 1930, Belgian Issue (Berlin)
goetzmann0544	Changuion Plantation Mortgage Loan, Essequibo & Demerara, 1816	Changuion Plantation Mortgage Loan, Essequibo & Demerara
goetzmann0546	Russian Imperial 6% Perpetual Obligation (Fourth Loan), payable at Amsterdam	Russian Imperial Perpetual Obligation (Fourth Loan), payable at Amsterdam
goetzmann0549	Vlaardingen Orphanage Negotiatie (Lottery-Loan), Batavian Republic, 9 May 1800	Vlaardingen Orphanage Negotiatie (Lottery-Loan), Batavian Republic, 9 May
goetzmann0564	Chinese Republic 8% Railway Equipment Loan Treasury Note	Chinese Republic Railway Equipment Loan Treasury Note
goetzmann0570	Bética Agricultural-Industrial Cooperative Mortgage Bond, Seville, 1931	Bética Agricultural-Industrial Cooperative Mortgage Bond, Seville
goetzmann0572	Chinese Republic 5% Gold Industrial Loan, 500-Franc Bond (1914)	Chinese Republic Gold Industrial Loan, 500-Franc Bond
goetzmann0576	Republic of Peru 5% Gold Bond, £10	Republic of Peru Gold Bond
goetzmann0580	Bulgarian 5% State Gold Loan Bond of 1904	Bulgarian State Gold Loan Bond of 1904
goetzmann0584	Bulgarian 4½% Gold Loan of 1907 Bond	Bulgarian Gold Loan of 1907 Bond
goetzmann0595	Chinese Account Ledger of Loans in Copper Cash, Reckoned at New Year, Tongzhi 13 (1874)	Chinese Account Ledger of Loans in Copper Cash, Reckoned at New Year, Tongzhi 13
goetzmann0597	Chinese Government 8% Sterling Treasury Note, Peking, 1919	Chinese Government Sterling Treasury Note, Peking
goetzmann0600	Colombian National Railway Company First Mortgage Debenture, London, 1910	Colombian National Railway Company First Mortgage Debenture, London
goetzmann0601	Compagnie de Colonisation Américaine Land Share, Paris, 1820	Compagnie de Colonisation Américaine Land Share, Paris
goetzmann0604	Confederate States of America $1,000 Cotton Loan Bond, Richmond, 1863	Confederate States of America $1,000 Cotton Loan Bond, Richmond
goetzmann0606	Dutch Life-Annuity Tontine Conditions (No. 21), 1687	Dutch Life-Annuity Tontine Conditions
goetzmann0610	Banco Territorial de Cuba (Crédit Foncier Cubain) 5% Bearer Bond, Havana	Banco Territorial de Cuba (Crédit Foncier Cubain) Bearer Bond, Havana
goetzmann0612	Connecticut Comptroller's Interest Certificate, Hartford, 1789	Connecticut Comptroller's Interest Certificate, Hartford
goetzmann0613	Denver & Rio Grande Railway Dutch Bearer Certificate, Amsterdam, 1886	Denver & Rio Grande Railway Dutch Bearer Certificate, Amsterdam
goetzmann0614	German External Loan 1924 (Dawes Loan), Swiss Issue — Funding Bond Entitlement Certificate, Bad Homburg, 1953	German External Loan 1924 (Dawes Loan), Swiss Issue — Funding Bond Entitlement Certificate, Bad Homburg
goetzmann0616	Dutch Certificate for 1,000 Roubles of Russian Assignat Stock, Amsterdam, 1824	Dutch Certificate for 1,000 Roubles of Russian Assignat Stock, Amsterdam
goetzmann0617	German External Loan 1924 (Dawes Loan) Rights Certificate, Bad Homburg, 1960	German External Loan 1924 (Dawes Loan) Rights Certificate, Bad Homburg
goetzmann0619	German Government International 5½% Loan (Young Plan), French Tranche, Berlin, 1930	German Government International Loan (Young Plan), French Tranche, Berlin
goetzmann0620	United States Three Per Cent Funded Debt Certificate, Philadelphia, 1792	United States Three Per Cent Funded Debt Certificate, Philadelphia
goetzmann0623	Insurance Company of the State of Pennsylvania Stock Transfer, Philadelphia, 1795	Insurance Company of the State of Pennsylvania Stock Transfer, Philadelphia
goetzmann0624	Insurance Company of the State of Pennsylvania Stock Transfer, Philadelphia, 1797	Insurance Company of the State of Pennsylvania Stock Transfer, Philadelphia
goetzmann0625	State of Massachusetts Bay Treasury Note, 1780	State of Massachusetts Bay Treasury Note
goetzmann0626	United States Loan Office Three Per Cent Debt Certificate, New York, 1790	United States Loan Office Three Per Cent Debt Certificate, New York
goetzmann0629	Caisse d'Épargnes Lafarge Tontine Share, Paris, 1793	Caisse d'Épargnes Lafarge Tontine Share, Paris
goetzmann0649	Chilian 5 Per Cent Loan Coupon Sheet (Rothschild, London)	Chilian Loan Coupon Sheet (Rothschild, London)
goetzmann0680	Russian Provisional Government Liberty Loan Bond, Petrograd, 1917	Russian Provisional Government Liberty Loan Bond, Petrograd
goetzmann0684	Middle West Utilities Company Common Stock Certificate, Chicago, 1930	Middle West Utilities Company Common Stock Certificate, Chicago
goetzmann0704	Monte del Sale Share Transfer, Florence, 1693	Monte del Sale Share Transfer, Florence
goetzmann0725	Caisse Autonome des Monopoles Stabilisation Loan Bond, Kingdom of Romania, 1929	Caisse Autonome des Monopoles Stabilisation Loan Bond, Kingdom of Romania
goetzmann0914	Derby Canal Company Share, Derby, 1793	Derby Canal Company Share, Derby
goetzmann0930	Rhode Island Land-Bank Mortgage Indenture, Newport and Providence, 1738	Rhode Island Land-Bank Mortgage Indenture, Newport and Providence
goetzmann0933	Marine Insurance Policy on the French Corvette La Byzantine (Brussels, 1757)	Marine Insurance Policy on the French Corvette La Byzantine (Brussels)
goetzmann0936	Antwerp Marine Insurance Policy (1761) with an Amsterdam Survivorship Contract (1774)	Antwerp Marine Insurance Policy with an Amsterdam Survivorship Contract
goetzmann0946	Rancocus Toll-Bridge Company Share Certificate, New Jersey, 1793	Rancocus Toll-Bridge Company Share Certificate, New Jersey
goetzmann0951	Insurance Company of the State of Pennsylvania Share Transfer, Philadelphia, 1795	Insurance Company of the State of Pennsylvania Share Transfer, Philadelphia
goetzmann1027	Monte di Pietà of Florence assignment of luoghi, Florence, 1627	Monte di Pietà of Florence assignment of luoghi, Florence
goetzmann1035	French Royal 3% Rente (Droit sur les Cuirs)	French Royal Rente (Droit sur les Cuirs)
goetzmann0729	Principality of Bulgaria 4½% Gold Loan of 1907 Bond, 500 Francs	Principality of Bulgaria Gold Loan of 1907 Bond
